id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
aioz-network,73,AIOZ,AIOZ Network,1080584737.2439904000000000,,962227780.5304179131714403,5683533.2706528747729993,0.8904695276231279,-1.5711151270804750,0.8774473874945482,https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18
klaytn,74,KLAY,Klaytn,3569322484.4565535000000000,,932952661.9769063065780494,8216337.5148199126344096,0.2613808827976923,3.3542912240112106,0.2525397650974744,https://scope.klaytn.com/blocks
gnosis-gno,75,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,914426130.0774582342588528,1850674.3095344835741334,353.1164533035595756,1.0981449805803427,348.9141988305528906,https://etherscan.io/token/Gnosis
wootrade,76,WOO,WOO,1837867859.7621970000000000,,846381395.6102801643790779,14614181.6680973476121626,0.4605235306306483,1.6775937467544407,0.4607069150192572,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
curve-dao-token,77,CRV,Curve DAO Token,1156930125.0000000000000000,3303030299.0000000000000000,795122862.0841068498058500,9184827.9442464136990703,0.6872695635651348,1.3691560738902018,0.6740712360183533,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
0x,78,ZRX,0x Protocol,847496054.8027713000000000,1000000000.0000000000000000,777364869.6371299927434025,145510015.7453122456577290,0.9172489538231984,-6.5761314427948485,0.9267662849981668,https://etherscan.io/token/ZRX
pendle,79,PENDLE,Pendle,238185588.2446348700000000,258446029.0000000000000000,761371568.9753150604569617,993374.6554637623314407,3.1965475937751870,15.4158302475279204,3.0174400999220482,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827
nexo,80,NEXO,Nexo,560000011.0000000000000000,,745589085.5545303191416747,946746.4020023833159280,1.3314090551946977,-1.8004717845347681,1.3463501731866727,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
enjin-coin,81,ENJ,Enjin Coin,1379841765.7600000000000000,,727465271.6646125349612527,15335277.1867468082804212,0.5272091987039786,3.4783693266989876,0.5093943796848543,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
bitcoin-gold,82,BTG,Bitcoin Gold,17513923.5890000000000000,21000000.0000000000000000,704904810.4874793249187135,128684.7441843265485975,40.2482520210497034,-1.2770706326371286,40.9687442461612647,https://explorer.bitcoingold.org/insight/
gatetoken,83,GT,GateToken,96490073.1090052900000000,,668537932.1436766709679361,3571956.5981141130609851,6.9285669561927497,-1.2801724793918027,6.9769498600519182,
ocean-protocol,84,OCEAN,Ocean Protocol,568381102.7486407000000000,1410000000.0000000000000000,661828171.3963673285693896,23568215.9879869386890578,1.1644091758079656,-2.2726404487797607,1.1593703634948477,https://etherscan.io/token/0x7AFeBBB46fDb47ed17b22ed075Cde2447694fB9e
iotex,85,IOTX,IoTeX,9441378955.0000000000000000,10000000000.0000000000000000,661778759.0235388867967760,15794198.0298414441511741,0.0700934431482672,1.5919948180615071,0.0687657912851019,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
ftx-token,86,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,649579826.3580427845964173,24000943.4941404581944391,1.9750364746292051,3.2712233944724758,1.9802472614187570,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
1inch,87,1INCH,1inch Network,1143723500.7828507000000000,,643247399.1270168318524908,20717934.0750985282133276,0.5624151280328941,1.3628500589932559,0.5551267816338883,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
rocket-pool,88,RPL,Rocket Pool,20217174.1801535400000000,,628212216.4980500487463666,109997.8255504302832318,31.0731960312605404,8.9799510000457225,29.9597131664979904,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
dydx,89,DYDX,dYdX,183765523.0000000000000000,1000000000.0000000000000000,620221875.4999826704426548,30685433.7507248171036126,3.3750720231671676,-0.0908915709382072,3.3831968040803809,
celo,90,CELO,Celo,530956100.0000000000000000,1000000000.0000000000000000,606662683.9544499777804900,19508641.3668345853068015,1.1425853925672009,-3.5917144282800790,1.1463103590248895,https://explorer.celo.org/blocks
zilliqa,91,ZIL,Zilliqa,17372203179.0000000000000000,,601640831.2846196607657666,21619945.7203997322585272,0.0346323851434054,2.3496999928034411,0.0338615861057630,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
superfarm,92,SUPER,SuperVerse,487776093.4169172600000000,1000000000.0000000000000000,600336005.1446779684221402,5637704.9040159044055795,1.2307614359270213,-0.9333959586215659,1.2283842763401321,https://etherscan.io/token/0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
livepeer,93,LPT,Livepeer,31361484.2529945700000000,,599822097.1208154845658085,28412684.3920636038748769,19.1260749102951374,2.2411043113785176,18.9015583157872013,https://explorer.livepeer.org/
compound,94,COMP,Compound,8094883.9148963500000000,10000000.0000000000000000,599172552.0091361482881626,22142604.0162412716430925,74.0186713371550781,-0.8994593120899931,74.1569137629806945,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
holo,95,HOT,Holo,173116448035.6735200000000000,,585966316.3262846626265569,7377713.6723740962865440,0.0033848101839840,-1.3152260642226103,0.0033193912064261,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
frax-share,96,FXS,Frax Share,78569938.8041846500000000,,581062357.1348831093105194,1152733.9371295356653668,7.3954793140800514,0.1275464316154693,7.4240114867879294,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
trust-wallet-token,97,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,571160741.1452356020803100,4104108.1398972665255890,1.3708409413880469,1.5965732888314702,1.3548419619523860,https://explorer.binance.org/asset/TWT-8C2
xinfin-network,98,XDC,XinFin Network,12293293518.5500000000000000,,563964040.9043729930349231,9311059.6723228699894385,0.0458757484357937,2.1927733091029266,0.0457320374989282,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
metisdao,99,METIS,Metis,5250547.0000000000000000,,560525837.7426326621752948,3878623.2477209926770949,106.7557033091281084,2.0146079760262730,105.7812476061672814,https://etherscan.io/token/0x9e32b13ce7f2e80a01932b42553652e053d6ed8e
loopring,100,LRC,Loopring,1366675578.7137282000000000,1374513896.0000000000000000,546230771.9176919179336653,21127586.9358628301590466,0.3996784463155382,1.9772516978542032,0.3919805829351545,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
raydium,101,RAY,Raydium,259208085.6773120000000000,555000000.0000000000000000,539527911.2868408333560186,46631797.5713944981990743,2.0814470732155278,-12.3472146556922071,2.2061403235211585,https://explorer.solana.com/address/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
skale-network,102,SKL,SKALE,5179144337.0000000000000000,7000000000.0000000000000000,533439547.4769611452779435,16840081.3554356070267998,0.1029976213765755,0.7858855321728504,0.0995427816526626,https://etherscan.io/token/0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
siacoin,103,SC,Siacoin,56725117187.2942350000000000,,522056477.2868785563258104,5576189.8565292201732979,0.0092032683786824,0.8307931681666734,0.0091561755626176,http://explore.sia.tech/
theta-fuel,104,TFUEL,Theta Fuel,6485186859.0000000000000000,,513568608.9485069530398732,2858054.2198827520695994,0.0791910272000548,0.1439501353371174,0.0783143847550723,https://explorer.thetatoken.org/
origintrail,105,TRAC,OriginTrail,402324425.4620000000000000,,510413369.1917395620771354,1124348.6168709624852165,1.2686611522669003,7.6819435305658906,1.2155581763279417,https://etherscan.io/token/0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
illuvium,106,ILV,Illuvium,3767377.2967588300000000,,500857925.1694737141509417,14941414.3543098956651400,132.9460485947012683,0.7316217301168412,131.4913754950597035,https://etherscan.io/token/0x767fe9edc9e0df98e07454847909b5e959d7ca0e
centrifuge,107,CFG,Centrifuge,470343489.0000000000000000,,489444356.3015217959312565,6890950.9417250659454767,1.0406104639444085,10.6301473413772934,0.9747140687107683,
golem-network-tokens,108,GLM,Golem,1000000000.0000000000000000,,484156663.4353690000000000,317204.3085949954712672,0.4841566634353690,0.0303251697639854,0.4769007706592550,https://etherscan.io/token/Golem
