,date,btc_7d_test,btc_7d_pred,btc_30d_test,btc_30d_pred,btc_180d_test,btc_180d_pred,btc_365d_test,btc_365d_pred
10,2019-09-24 00:00:00+00:00,-0.08814947254672731,0.0556138978202457,-0.08814947254672731,0.0556138978202457,-0.08814947254672731,-0.08814947254672731,-0.08814947254672731,-0.08814947254672731
11,2019-09-25 00:00:00+00:00,-0.197923960196834,0.1653883854703524,-0.197923960196834,0.1653883854703524,-0.197923960196834,0.021625015103379386,-0.197923960196834,-0.197923960196834
12,2019-09-26 00:00:00+00:00,-0.2207243768744724,0.1881888021479908,-0.2207243768744724,0.1881888021479908,-0.2207243768744724,0.044425431781017787,-0.2207243768744724,-0.2207243768744724
13,2019-09-27 00:00:00+00:00,-0.2470090347757618,0.2144734600492802,-0.2470090347757618,0.2144734600492802,-0.2470090347757618,0.07071008968230719,-0.2470090347757618,-0.2470090347757618
14,2019-09-28 00:00:00+00:00,-0.2324107098026427,0.1998751350761611,-0.2324107098026427,0.1998751350761611,-0.2324107098026427,0.056111764709188085,-0.2324107098026427,-0.2324107098026427
15,2019-09-29 00:00:00+00:00,-0.2399030905598623,0.2073675158333807,-0.2399030905598623,0.2073675158333807,-0.2399030905598623,0.06360414546640769,-0.2399030905598623,-0.2399030905598623
16,2019-09-30 00:00:00+00:00,-0.241427427337425,0.2088918526109434,-0.241427427337425,0.2088918526109434,-0.241427427337425,0.06512848224397039,-0.241427427337425,-0.241427427337425
17,2019-10-01 00:00:00+00:00,-0.2078453187933165,0.1753097440668349,-0.2078453187933165,0.1753097440668349,-0.2078453187933165,0.031546373699861886,-0.2078453187933165,-0.2078453187933165
18,2019-10-02 00:00:00+00:00,-0.2186795168126345,0.1861439420861529,-0.2186795168126345,0.1861439420861529,-0.2186795168126345,0.04238057171917989,-0.2186795168126345,-0.2186795168126345
19,2019-10-03 00:00:00+00:00,-0.2192975587792814,0.18676198405279978,-0.2192975587792814,0.18676198405279978,-0.2192975587792814,0.04299861368582679,-0.2192975587792814,-0.2192975587792814
20,2019-10-04 00:00:00+00:00,-0.23182138512135939,0.19928581039487778,-0.23182138512135939,0.19928581039487778,-0.23182138512135939,0.05552244002790479,-0.23182138512135939,-0.23182138512135939
21,2019-10-05 00:00:00+00:00,-0.2355446217970772,0.20300904707059558,-0.2355446217970772,0.20300904707059558,-0.2355446217970772,0.05924567670362259,-0.2355446217970772,-0.2355446217970772
22,2019-10-06 00:00:00+00:00,-0.2489868062507806,0.216451231524299,-0.2489868062507806,0.216451231524299,-0.2489868062507806,0.07268786115732599,-0.2489868062507806,-0.2489868062507806
23,2019-10-07 00:00:00+00:00,-0.2448143301349195,0.21227875540843788,-0.2448143301349195,0.21227875540843788,-0.2448143301349195,0.0685153850414649,-0.2448143301349195,-0.2448143301349195
24,2019-10-08 00:00:00+00:00,-0.22682642369191838,0.19429084896543677,-0.22682642369191838,0.19429084896543677,-0.22682642369191838,0.0505274785984638,-0.22682642369191838,-0.22682642369191838
25,2019-10-09 00:00:00+00:00,-0.21258299704478567,0.18004742231830406,-0.21258299704478567,0.18004742231830406,-0.21258299704478567,0.0362840519513311,-0.21258299704478567,-0.21258299704478567
26,2019-10-10 00:00:00+00:00,-0.18763470601186946,0.15509913128538785,-0.18763470601186946,0.15509913128538785,-0.18763470601186946,0.011335760918414903,-0.18763470601186946,-0.18763470601186946
27,2019-10-11 00:00:00+00:00,-0.20501334855819206,0.17247777383171045,-0.20501334855819206,0.17247777383171045,-0.20501334855819206,0.028714403464737505,-0.20501334855819206,-0.20501334855819206
28,2019-10-12 00:00:00+00:00,-0.21105282882746856,0.17851725410098696,-0.21105282882746856,0.17851725410098696,-0.21105282882746856,0.034753883734014,-0.21105282882746856,-0.21105282882746856
29,2019-10-13 00:00:00+00:00,-0.20598286172442737,0.17344728699794576,-0.20598286172442737,0.17344728699794576,-0.20598286172442737,0.029683916630972803,-0.20598286172442737,-0.20598286172442737
30,2019-10-14 00:00:00+00:00,-0.21509749095944578,0.18256191623296417,-0.21509749095944578,0.18256191623296417,-0.21509749095944578,0.0387985458659912,-0.21509749095944578,-0.21509749095944578
31,2019-10-15 00:00:00+00:00,-0.21889055232565527,0.18635497759917366,-0.21889055232565527,0.18635497759917366,-0.21889055232565527,0.0425916072322007,-0.21889055232565527,-0.21889055232565527
